Rohwert,Z_Wert,T_Wert
# Titel,Coping: Aktiv (Item NI07_05),
# Untertitel,Norm für Männer,
# N,36,
# Mittelwert,3.75,
# SD,1.11,
# Min,1,
# Max,5,
,,
1,-2.49,25
1.1,-2.4,26
1.2,-2.31,27
1.3,-2.22,28
1.4,-2.13,29
1.5,-2.04,30
1.6,-1.95,31
1.7,-1.85,31
1.8,-1.76,32
1.9,-1.67,33
2,-1.58,34
2.1,-1.49,35
2.2,-1.4,36
2.3,-1.31,37
2.4,-1.22,38
2.5,-1.13,39
2.6,-1.04,40
2.7,-0.95,40
2.8,-0.86,41
2.9,-0.77,42
3,-0.68,43
3.1,-0.59,44
3.2,-0.5,45
3.3,-0.41,46
3.4,-0.32,47
3.5,-0.23,48
3.6,-0.14,49
3.7,-0.05,50
3.8,0.05,50
3.9,0.14,51
4,0.23,52
4.1,0.32,53
4.2,0.41,54
4.3,0.5,55
4.4,0.59,56
4.5,0.68,57
4.6,0.77,58
4.7,0.86,59
4.8,0.95,60
4.9,1.04,60
5,1.13,61
