Rohwert,Z_Wert,T_Wert
# Titel,Coping: Aktiv (Item NI07_05),
# Untertitel,Norm für Frauen,
# N,140,
# Mittelwert,3.29,
# SD,1.11,
# Min,1,
# Max,6,
,,
1,-2.06,29
1.1,-1.97,30
1.2,-1.88,31
1.3,-1.79,32
1.4,-1.7,33
1.5,-1.61,34
1.6,-1.52,35
1.7,-1.43,36
1.8,-1.34,37
1.9,-1.25,37
2,-1.16,38
2.1,-1.07,39
2.2,-0.98,40
2.3,-0.89,41
2.4,-0.8,42
2.5,-0.71,43
2.6,-0.62,44
2.7,-0.53,45
2.8,-0.44,46
2.9,-0.35,47
3,-0.26,47
3.1,-0.17,48
3.2,-0.08,49
3.3,0.01,50
3.4,0.1,51
3.5,0.19,52
3.6,0.28,53
3.7,0.37,54
3.8,0.46,55
3.9,0.55,56
4,0.64,56
4.1,0.74,57
4.2,0.83,58
4.3,0.92,59
4.4,1.01,60
4.5,1.1,61
4.6,1.19,62
4.7,1.28,63
4.8,1.37,64
4.9,1.46,65
5,1.55,65
5.1,1.64,66
5.2,1.73,67
5.3,1.82,68
5.4,1.91,69
5.5,2,70
5.6,2.09,71
5.7,2.18,72
5.8,2.27,73
5.9,2.36,74
6,2.45,75
