Rohwert,Z_Wert,T_Wert
# Titel,Coping: Drogen (Item NI07_01),
# Untertitel,Gemeinsame Norm,
# N,180,
# Mittelwert,1.91,
# SD,1.36,
# Min,1,
# Max,6,
,,
1,-0.67,43
1.1,-0.59,44
1.2,-0.52,45
1.3,-0.45,46
1.4,-0.37,46
1.5,-0.3,47
1.6,-0.22,48
1.7,-0.15,48
1.8,-0.08,49
1.9,0,50
2,0.07,51
2.1,0.14,51
2.2,0.22,52
2.3,0.29,53
2.4,0.36,54
2.5,0.44,54
2.6,0.51,55
2.7,0.58,56
2.8,0.66,57
2.9,0.73,57
3,0.8,58
3.1,0.88,59
3.2,0.95,60
3.3,1.02,60
3.4,1.1,61
3.5,1.17,62
3.6,1.25,62
3.7,1.32,63
3.8,1.39,64
3.9,1.47,65
4,1.54,65
4.1,1.61,66
4.2,1.69,67
4.3,1.76,68
4.4,1.83,68
4.5,1.91,69
4.6,1.98,70
4.7,2.05,71
4.8,2.13,71
4.9,2.2,72
5,2.27,73
5.1,2.35,73
5.2,2.42,74
5.3,2.49,75
5.4,2.57,76
5.5,2.64,76
5.6,2.72,77
5.7,2.79,78
5.8,2.86,79
5.9,2.94,79
6,3.01,80
