Rohwert,Z_Wert,T_Wert
# Titel,Coping: Positiv (Item NI07_04),
# Untertitel,Gemeinsame Norm,
# N,180,
# Mittelwert,3.07,
# SD,1.36,
# Min,1,
# Max,6,
,,
1,-1.51,35
1.1,-1.44,36
1.2,-1.37,36
1.3,-1.29,37
1.4,-1.22,38
1.5,-1.15,39
1.6,-1.07,39
1.7,-1,40
1.8,-0.93,41
1.9,-0.86,41
2,-0.78,42
2.1,-0.71,43
2.2,-0.64,44
2.3,-0.56,44
2.4,-0.49,45
2.5,-0.42,46
2.6,-0.34,47
2.7,-0.27,47
2.8,-0.2,48
2.9,-0.12,49
3,-0.05,50
3.1,0.02,50
3.2,0.1,51
3.3,0.17,52
3.4,0.24,52
3.5,0.32,53
3.6,0.39,54
3.7,0.46,55
3.8,0.54,55
3.9,0.61,56
4,0.68,57
4.1,0.76,58
4.2,0.83,58
4.3,0.9,59
4.4,0.98,60
4.5,1.05,61
4.6,1.12,61
4.7,1.2,62
4.8,1.27,63
4.9,1.34,63
5,1.42,64
5.1,1.49,65
5.2,1.56,66
5.3,1.64,66
5.4,1.71,67
5.5,1.78,68
5.6,1.86,69
5.7,1.93,69
5.8,2,70
5.9,2.08,71
6,2.15,71
