Rohwert,Z_Wert,T_Wert
# Titel,Coping: Religiös (Item NI07_02),
# Untertitel,Gemeinsame Norm,
# N,180,
# Mittelwert,3.44,
# SD,1.22,
# Min,1,
# Max,6,
,,
1,-2,30
1.1,-1.92,31
1.2,-1.84,32
1.3,-1.76,32
1.4,-1.68,33
1.5,-1.59,34
1.6,-1.51,35
1.7,-1.43,36
1.8,-1.35,37
1.9,-1.27,37
2,-1.18,38
2.1,-1.1,39
2.2,-1.02,40
2.3,-0.94,41
2.4,-0.86,41
2.5,-0.77,42
2.6,-0.69,43
2.7,-0.61,44
2.8,-0.53,45
2.9,-0.45,46
3,-0.36,46
3.1,-0.28,47
3.2,-0.2,48
3.3,-0.12,49
3.4,-0.04,50
3.5,0.05,50
3.6,0.13,51
3.7,0.21,52
3.8,0.29,53
3.9,0.37,54
4,0.46,55
4.1,0.54,55
4.2,0.62,56
4.3,0.7,57
4.4,0.78,58
4.5,0.87,59
4.6,0.95,59
4.7,1.03,60
4.8,1.11,61
4.9,1.19,62
5,1.27,63
5.1,1.36,64
5.2,1.44,64
5.3,1.52,65
5.4,1.6,66
5.5,1.68,67
5.6,1.77,68
5.7,1.85,68
5.8,1.93,69
5.9,2.01,70
6,2.09,71
