Rohwert,Z_Wert,T_Wert
# Titel,Coping: Sozial (Item NI07_03),
# Untertitel,Gemeinsame Norm,
# N,180,
# Mittelwert,4.73,
# SD,1.19,
# Min,1,
# Max,6,
,,
1.1,-3.04,20
1.2,-2.96,20
1.3,-2.88,21
1.4,-2.79,22
1.5,-2.71,23
1.6,-2.62,24
1.7,-2.54,25
1.8,-2.46,25
1.9,-2.37,26
2,-2.29,27
2.1,-2.21,28
2.2,-2.12,29
2.3,-2.04,30
2.4,-1.95,30
2.5,-1.87,31
2.6,-1.79,32
2.7,-1.7,33
2.8,-1.62,34
2.9,-1.54,35
3,-1.45,35
3.1,-1.37,36
3.2,-1.28,37
3.3,-1.2,38
3.4,-1.12,39
3.5,-1.03,40
3.6,-0.95,41
3.7,-0.87,41
3.8,-0.78,42
3.9,-0.7,43
4,-0.61,44
4.1,-0.53,45
4.2,-0.45,46
4.3,-0.36,46
4.4,-0.28,47
4.5,-0.2,48
4.6,-0.11,49
4.7,-0.03,50
4.8,0.06,51
4.9,0.14,51
5,0.22,52
5.1,0.31,53
5.2,0.39,54
5.3,0.47,55
5.4,0.56,56
5.5,0.64,56
5.6,0.73,57
5.7,0.81,58
5.8,0.89,59
5.9,0.98,60
6,1.06,61
