Rohwert,Z_Wert,T_Wert
# Titel,Stressbelastung (Kurzskala),
# Untertitel,Norm für ältere Erwachsene (> 45 Jahre),
# N,13,
# Mittelwert,3.34,
# SD,1.05,
# Min,1.2,
# Max,5.2,
,,
1.2,-2.03,30
1.3,-1.94,31
1.4,-1.84,32
1.5,-1.75,33
1.6,-1.65,33
1.7,-1.56,34
1.8,-1.46,35
1.9,-1.37,36
2,-1.27,37
2.1,-1.18,38
2.2,-1.08,39
2.3,-0.99,40
2.4,-0.89,41
2.5,-0.8,42
2.6,-0.7,43
2.7,-0.61,44
2.8,-0.51,45
2.9,-0.42,46
3,-0.32,47
3.1,-0.23,48
3.2,-0.13,49
3.3,-0.04,50
3.4,0.06,51
3.5,0.15,52
3.6,0.25,52
3.7,0.34,53
3.8,0.44,54
3.9,0.53,55
4,0.63,56
4.1,0.72,57
4.2,0.82,58
4.3,0.91,59
4.4,1.01,60
4.5,1.1,61
4.6,1.2,62
4.7,1.29,63
4.8,1.39,64
4.9,1.48,65
5,1.58,66
5.1,1.67,67
5.2,1.77,68
