Rohwert,Z_Wert,T_Wert
# Titel,Stressbelastung (Kurzskala),
# Untertitel,Norm für junge Erwachsene (< 30 Jahre),
# N,146,
# Mittelwert,4.02,
# SD,0.92,
# Min,1.2,
# Max,6,
,,
1.2,-3.05,20
1.3,-2.94,21
1.4,-2.83,22
1.5,-2.72,23
1.6,-2.62,24
1.7,-2.51,25
1.8,-2.4,26
1.9,-2.29,27
2,-2.18,28
2.1,-2.07,29
2.2,-1.97,30
2.3,-1.86,31
2.4,-1.75,33
2.5,-1.64,34
2.6,-1.53,35
2.7,-1.42,36
2.8,-1.32,37
2.9,-1.21,38
3,-1.1,39
3.1,-0.99,40
3.2,-0.88,41
3.3,-0.77,42
3.4,-0.67,43
3.5,-0.56,44
3.6,-0.45,46
3.7,-0.34,47
3.8,-0.23,48
3.9,-0.12,49
4,-0.02,50
4.1,0.09,51
4.2,0.2,52
4.3,0.31,53
4.4,0.42,54
4.5,0.53,55
4.6,0.63,56
4.7,0.74,57
4.8,0.85,59
4.9,0.96,60
5,1.07,61
5.1,1.18,62
5.2,1.28,63
5.3,1.39,64
5.4,1.5,65
5.5,1.61,66
5.6,1.72,67
5.7,1.82,68
5.8,1.93,69
5.9,2.04,70
6,2.15,71
