Rohwert,Z_Wert,T_Wert
# Titel,Stressbelastung (Kurzskala),
# Untertitel,Norm für mittleres Alter (30-45 Jahre),
# N,21,
# Mittelwert,3.47,
# SD,0.81,
# Min,2.2,
# Max,4.8,
,,
2.2,-1.56,34
2.3,-1.44,36
2.4,-1.32,37
2.5,-1.19,38
2.6,-1.07,39
2.7,-0.95,41
2.8,-0.82,42
2.9,-0.7,43
3,-0.58,44
3.1,-0.45,45
3.2,-0.33,47
3.3,-0.21,48
3.4,-0.08,49
3.5,0.04,50
3.6,0.16,52
3.7,0.29,53
3.8,0.41,54
3.9,0.53,55
4,0.66,57
4.1,0.78,58
4.2,0.9,59
4.3,1.03,60
4.4,1.15,62
4.5,1.27,63
4.6,1.4,64
4.7,1.52,65
4.8,1.64,66
