Rohwert,Z_Wert,T_Wert
# Titel,Stresssymptome (Kurzskala),
# Untertitel,Gemeinsame Norm für gesamte Stichprobe,
# N,180,
# Mittelwert,3.45,
# SD,1.12,
# Min,1,
# Max,6,
,,
1,-2.18,28
1.1,-2.09,29
1.2,-2,30
1.3,-1.91,31
1.4,-1.82,32
1.5,-1.73,33
1.6,-1.64,34
1.7,-1.55,34
1.8,-1.47,35
1.9,-1.38,36
2,-1.29,37
2.1,-1.2,38
2.2,-1.11,39
2.3,-1.02,40
2.4,-0.93,41
2.5,-0.84,42
2.6,-0.75,42
2.7,-0.67,43
2.8,-0.58,44
2.9,-0.49,45
3,-0.4,46
3.1,-0.31,47
3.2,-0.22,48
3.3,-0.13,49
3.4,-0.04,50
3.5,0.05,50
3.6,0.13,51
3.7,0.22,52
3.8,0.31,53
3.9,0.4,54
4,0.49,55
4.1,0.58,56
4.2,0.67,57
4.3,0.76,58
4.4,0.85,58
4.5,0.93,59
4.6,1.02,60
4.7,1.11,61
4.8,1.2,62
4.9,1.29,63
5,1.38,64
5.1,1.47,65
5.2,1.56,66
5.3,1.65,66
5.4,1.73,67
5.5,1.82,68
5.6,1.91,69
5.7,2,70
5.8,2.09,71
5.9,2.18,72
6,2.27,73
